Source,Date,Researcher,Species,Breeding,Block,Latitude,Longitude
Incidental,4/3/2021,"Colasanti, Peter",CORA,NB,6-2,38.105218,-122.840183
Incidental,4/3/2021,"Colasanti, Peter",CORA,NB,6-2,38.10522,-122.8402
Incidental,3/18/2025,Daphne Hatch,WTKI,NB,9-13,38.1113084,-122.6574489
Incidental,7/18/2022,Daphne Hatch,AMCO,NB,9-14,38.114254,-122.649851
Incidental,4/18/2022,Lisa Hug,BUOR,NB,9-14,38.11623,-122.64703
Incidental,4/18/2022,Lisa Hug,TRES,NB,9-14,38.11746,-122.64658
Incidental,4/18/2024,Rusty Scalf,HOFI,NB,12-13,38.121365,-122.560921
Incidental,5/24/2023,ron brown,BARS,NB,3-13,38.1236,-122.9353
Incidental,7/7/2024,Diana Humple,MODO,NB,11-11,38.12972,-122.60316
Incidental,4/9/2022,Lisa Hug,LEGO,NB,11-11,38.131772,-122.606766
Incidental,3/16/2022,Daphne Hatch,LASP,NB,11-11,38.1375629,-122.6045878
Incidental,5/8/2022,Larry nigro,NOHA,NB,2-10,38.15197,-122.94029
Incidental,5/10/2021,"Lumpkin, David",AMCR,NB,2-22,38.16585363,-122.8990791
Incidental,4/5/2022,David Lumpkin,SOSP,NB,2-22,38.165993,-122.897776
Incidental,6/16/2021,"Lumpkin, David",AMGO,NB,2-22,38.166107,-122.900068
Incidental,5/9/2023,Nils Warnock,MODO,NB,2-20,38.170502,-122.899063
Incidental,4/10/2024,David Lumpkin,PYNU,NB,2-20,38.171037,-122.901219
Incidental,4/24/2024,William Legge,KILL,NE,14-18,37.829463,-122.535017
Incidental,6/22/2021,Jim White/ Kathy Johnston,BEWR,NE,14-2,37.8605,-122.5811
Incidental,5/30/2023,Lynn Perry,HOFI,NE,13-24,37.89471,-122.52148
Incidental,5/7/2021,"Lamphier, Joan",HOFI,NE,10-21,37.9001,-122.6458
Incidental,5/19/2021,Scott Jennings,DCCO,NE,10-10,37.91129522,-122.6850683
Incidental,4/3/2021,"Ford, Brandy",MODO,NE,16-2,37.91397,-122.4915
Incidental,4/3/2021,"Ford, Brandy",MODO,NE,16-2,37.913972,-122.491491
